"logical_key","version_number","approved_answer_ro","approved_answer_en","alternative_questions_ro","administrative_reviewer_reference","clinical_reviewer_reference","reviewed_at","valid_from","valid_until","requires_clinical_review"
"project_what_is_oncodir","1","ONCODIR este un proiect european care urmărește prevenția cancerului colorectal prin utilizarea unor instrumente digitale și soluții bazate pe inteligență artificială. Proiectul sprijină atât participanții, cât și cadrele medicale în monitorizarea factorilor de risc și în promovarea unui stil de viață sănătos.","","Ce este ONCODIR?","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","2026-08-10T09:47:33+03:00","","","true"
"project_study_purpose","1","Scopul este evaluarea modului în care instrumentele digitale pot sprijini prevenția cancerului colorectal și procesul de luare a deciziilor medicale.","","Care este scopul studiului?","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","2026-08-10T09:47:33+03:00","","","true"
"project_eligibility","1","Persoanele recrutate de medicii participanți în studiul LIP-01.","","Cine poate participa?","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","2026-08-10T09:47:33+03:00","","","true"
"project_duration","1","Pilotul durează 8 saptamani de la înscrierea pacientului în platforma (conform protocolului LIP-01).","","Cât durează participarea?","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
"project_cost","1","Da.","","Participarea este gratuită?","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
"project_withdrawal","1","Da. Participarea este voluntară.","","Pot renunța oricând?","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
"account_create","1","Instalați aplicația NELI.
Apăsați pe “creați un cont nou”
Introduceți codul de înregistrare primit de la medic.
Completați datele pentru crearea contului nou.
Confirmați crearea contului din email (verificati-va inbox-ul).
Conectați-vă cu email-ul și parola setata.","","Cum îmi creez cont?","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
"account_registration_code_source","1","De la medicul de familie.","","De unde primesc codul?","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
"account_registration_code_invalid","1","Asigurati-va ca l-ati scris corect. Intreabati medicul dumneavoastra daca codul este corect. Dacă nici așa nu se rezolva problema, contactati echipa studiului.","","Codul meu nu funcționează.","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
"account_confirmation_email_missing","1","Verificați Spam/Junk. Dacă nu există nici acolo, contactați echipa proiectului.","","Nu primesc email-ul de confirmare.","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
"account_forgot_password","1","Folosiți opțiunea Forgot Password/Am uitat parola.","","Mi-am uitat parola.","ONCODIR LIP-01 Chatbot Knowledge Base.docx SHA256:BFFCF7822D7EC83766384B3DD74B5383181302E6A7FB92EB2D9BF8E62269C8C3","","2026-08-10T09:47:33+03:00","","","false"
